Search Link,Name,Short Name,Tax Status,Parcels,County Code,County Name,State,Auction Date,Time,Location,Notes,Register Date,Register Link,List Link,Purchase Info Link
https://parcelfair.com/map?countyCode=8023,Costilla County Treasurer's Deed Sale,Costilla Tax Deed Auction,Deed,0,8023,Costilla,CO,2026-01-06,12:00 PM E,Online (GovEase),Tax Deed Auction,N/A,,https://liveauctions.govease.com/co/cocostillatread/1435/browsestandard,
https://parcelfair.com/map?countyCode=8041,El Paso County Foreclosure Auction,El Paso Foreclosure Auction,Foreclosure,0,8041,El Paso,CO,2026-01-07,10:00 AM,Real Foreclosure (Online),,2026-01-07,https://elpasoco.realforeclose.com/index.cfm?zaction=home&zmethod=faq,https://elpasoco.realforeclose.com/index.cfm?zaction=AUCTION&zmethod=PREVIEW&AuctionDate=1/7/2026,https://elpasoco.realforeclose.com/index.cfm?zaction=home&zmethod=faq
https://parcelfair.com/map?countyCode=8069,Larimer County Foreclosure Auction,Larimer Foreclosure Auction,Foreclosure,0,8069,Larimer,CO,2026-01-07,10:00 AM,Real Foreclosure (Online),,2026-01-07,https://larimer.realforeclose.com/index.cfm?zaction=home&zmethod=faq,https://larimer.realforeclose.com/index.cfm?zaction=AUCTION&zmethod=PREVIEW&AuctionDate=1/7/2026,https://larimer.realforeclose.com/index.cfm?zaction=home&zmethod=faq
https://parcelfair.com/map?countyCode=8101,Pueblo Deed Sale,Pueblo Deed Sale,Deed,0,8101,Pueblo,CO,2026-01-07,6:30 AM,www.zeusauction.com,,N/A,,https://properties.sriservices.com/properties?state=CO&county=Pueblo&saleType=&saleDate=OD&saleDateVal=1%2F7%2F2026&saleFormat=&searchText=&saleStatus=&sortBy=&sortOrder=,
https://parcelfair.com/map?countyCode=8031,Denver County Foreclosure Auction,Denver Foreclosure Auction,Foreclosure,0,8031,Denver,CO,2026-01-08,10:00 AM,Real Foreclosure (Online),,2026-01-08,https://denver.realforeclose.com/index.cfm?zaction=home&zmethod=faq,https://denver.realforeclose.com/index.cfm?zaction=AUCTION&zmethod=PREVIEW&AuctionDate=1/8/2026,https://denver.realforeclose.com/index.cfm?zaction=home&zmethod=faq
https://parcelfair.com/map?countyCode=8041,El Paso County Foreclosure Auction,El Paso Foreclosure Auction,Foreclosure,0,8041,El Paso,CO,2026-01-14,10:00 AM,Real Foreclosure (Online),,2026-01-14,https://elpasoco.realforeclose.com/index.cfm?zaction=home&zmethod=faq,https://elpasoco.realforeclose.com/index.cfm?zaction=AUCTION&zmethod=PREVIEW&AuctionDate=1/14/2026,https://elpasoco.realforeclose.com/index.cfm?zaction=home&zmethod=faq
https://parcelfair.com/map?countyCode=8069,Larimer County Foreclosure Auction,Larimer Foreclosure Auction,Foreclosure,0,8069,Larimer,CO,2026-01-14,10:00 AM,Real Foreclosure (Online),,2026-01-14,https://larimer.realforeclose.com/index.cfm?zaction=home&zmethod=faq,https://larimer.realforeclose.com/index.cfm?zaction=AUCTION&zmethod=PREVIEW&AuctionDate=1/14/2026,https://larimer.realforeclose.com/index.cfm?zaction=home&zmethod=faq
https://parcelfair.com/map?countyCode=8031,Denver County Foreclosure Auction,Denver Foreclosure Auction,Foreclosure,0,8031,Denver,CO,2026-01-15,10:00 AM,Real Foreclosure (Online),,2026-01-15,https://denver.realforeclose.com/index.cfm?zaction=home&zmethod=faq,https://denver.realforeclose.com/index.cfm?zaction=AUCTION&zmethod=PREVIEW&AuctionDate=1/15/2026,https://denver.realforeclose.com/index.cfm?zaction=home&zmethod=faq
https://parcelfair.com/map?countyCode=8023,Costilla County Treasurer's Deed Sale,Costilla Tax Deed Auction,Deed,0,8023,Costilla,CO,2026-01-20,12:00 PM E,Online (GovEase),Tax Deed Auction,N/A,,https://liveauctions.govease.com/co/cocostillatread/1435/browsestandard,
https://parcelfair.com/map?countyCode=8037,Eagle County Foreclosure Auction,Eagle Foreclosure Auction,Foreclosure,0,8037,Eagle,CO,2026-01-21,10:00 AM,Real Foreclosure (Online),,2026-01-21,https://eagle.realforeclose.com/index.cfm?zaction=home&zmethod=faq,https://eagle.realforeclose.com/index.cfm?zaction=AUCTION&zmethod=PREVIEW&AuctionDate=1/21/2026,https://eagle.realforeclose.com/index.cfm?zaction=home&zmethod=faq
https://parcelfair.com/map?countyCode=8041,El Paso County Foreclosure Auction,El Paso Foreclosure Auction,Foreclosure,0,8041,El Paso,CO,2026-01-21,10:00 AM,Real Foreclosure (Online),,2026-01-21,https://elpasoco.realforeclose.com/index.cfm?zaction=home&zmethod=faq,https://elpasoco.realforeclose.com/index.cfm?zaction=AUCTION&zmethod=PREVIEW&AuctionDate=1/21/2026,https://elpasoco.realforeclose.com/index.cfm?zaction=home&zmethod=faq
https://parcelfair.com/map?countyCode=8069,Larimer County Foreclosure Auction,Larimer Foreclosure Auction,Foreclosure,0,8069,Larimer,CO,2026-01-21,10:00 AM,Real Foreclosure (Online),,2026-01-21,https://larimer.realforeclose.com/index.cfm?zaction=home&zmethod=faq,https://larimer.realforeclose.com/index.cfm?zaction=AUCTION&zmethod=PREVIEW&AuctionDate=1/21/2026,https://larimer.realforeclose.com/index.cfm?zaction=home&zmethod=faq
https://parcelfair.com/map?countyCode=8031,Denver County Foreclosure Auction,Denver Foreclosure Auction,Foreclosure,0,8031,Denver,CO,2026-01-22,10:00 AM,Real Foreclosure (Online),,2026-01-22,https://denver.realforeclose.com/index.cfm?zaction=home&zmethod=faq,https://denver.realforeclose.com/index.cfm?zaction=AUCTION&zmethod=PREVIEW&AuctionDate=1/22/2026,https://denver.realforeclose.com/index.cfm?zaction=home&zmethod=faq
https://parcelfair.com/map?countyCode=8041,El Paso County Foreclosure Auction,El Paso Foreclosure Auction,Foreclosure,0,8041,El Paso,CO,2026-01-28,10:00 AM,Real Foreclosure (Online),,2026-01-28,https://elpasoco.realforeclose.com/index.cfm?zaction=home&zmethod=faq,https://elpasoco.realforeclose.com/index.cfm?zaction=AUCTION&zmethod=PREVIEW&AuctionDate=1/28/2026,https://elpasoco.realforeclose.com/index.cfm?zaction=home&zmethod=faq
https://parcelfair.com/map?countyCode=8069,Larimer County Foreclosure Auction,Larimer Foreclosure Auction,Foreclosure,0,8069,Larimer,CO,2026-01-28,10:00 AM,Real Foreclosure (Online),,2026-01-28,https://larimer.realforeclose.com/index.cfm?zaction=home&zmethod=faq,https://larimer.realforeclose.com/index.cfm?zaction=AUCTION&zmethod=PREVIEW&AuctionDate=1/28/2026,https://larimer.realforeclose.com/index.cfm?zaction=home&zmethod=faq
https://parcelfair.com/map?countyCode=8031,Denver County Foreclosure Auction,Denver Foreclosure Auction,Foreclosure,0,8031,Denver,CO,2026-01-29,10:00 AM,Real Foreclosure (Online),,2026-01-29,https://denver.realforeclose.com/index.cfm?zaction=home&zmethod=faq,https://denver.realforeclose.com/index.cfm?zaction=AUCTION&zmethod=PREVIEW&AuctionDate=1/29/2026,https://denver.realforeclose.com/index.cfm?zaction=home&zmethod=faq
https://parcelfair.com/map?countyCode=8041,El Paso County Foreclosure Auction,El Paso Foreclosure Auction,Foreclosure,0,8041,El Paso,CO,2026-02-04,10:00 AM,Real Foreclosure (Online),,2026-02-04,https://elpasoco.realforeclose.com/index.cfm?zaction=home&zmethod=faq,https://elpasoco.realforeclose.com/index.cfm?zaction=AUCTION&zmethod=PREVIEW&AuctionDate=2/4/2026,https://elpasoco.realforeclose.com/index.cfm?zaction=home&zmethod=faq
https://parcelfair.com/map?countyCode=8069,Larimer County Foreclosure Auction,Larimer Foreclosure Auction,Foreclosure,0,8069,Larimer,CO,2026-02-04,10:00 AM,Real Foreclosure (Online),,2026-02-04,https://larimer.realforeclose.com/index.cfm?zaction=home&zmethod=faq,https://larimer.realforeclose.com/index.cfm?zaction=AUCTION&zmethod=PREVIEW&AuctionDate=2/4/2026,https://larimer.realforeclose.com/index.cfm?zaction=home&zmethod=faq
https://parcelfair.com/map?countyCode=8031,Denver County Foreclosure Auction,Denver Foreclosure Auction,Foreclosure,0,8031,Denver,CO,2026-02-05,10:00 AM,Real Foreclosure (Online),,2026-02-05,https://denver.realforeclose.com/index.cfm?zaction=home&zmethod=faq,https://denver.realforeclose.com/index.cfm?zaction=AUCTION&zmethod=PREVIEW&AuctionDate=2/5/2026,https://denver.realforeclose.com/index.cfm?zaction=home&zmethod=faq
